dining_hall,service,date,meal_type,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,total_carbohydrate,dietary_fiber,sugars,protein,scraped_at
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Black Beans,1/2 Cup (114g),100,3g,NA,NA,NA,140mg,42mg,15g,4g,2g,5g,2025-11-04T01:16:16.196143
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,"Bulgur, Walnut, & Grape Salad Jain",4oz Serving (112g),140,6g,1g,NA,0mg,70mg,87mg,21g,3g,10g,2g,2025-11-04T01:16:16.196085
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,California Blend Vegetables,1/2 Cup (113g),30,0g,0g,0g,0mg,40mg,NA,6g,4g,2g,2g,2025-11-04T01:16:16.196126
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Caramel Cake,Slice (1/96) (51g),190,5g,2.5g,0g,10mg,190mg,NA,34g,0g,25g,3g,2025-11-04T01:16:16.196079
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Char Grilled Carne Asada,5oz Portion (153g),490,45g,9g,NA,50mg,210mg,144mg,4g,<,<,20g,2025-11-04T01:16:16.196097
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Chicken Tortilla Soup,1 Cup (244g),150,3.5g,NA,NA,30mg,360mg,94mg,19g,2g,2g,11g,2025-11-04T01:16:16.196114
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Fire Roasted Corn,1/2 Cup (86g),130,5g,0g,0g,0mg,40mg,NA,19g,<,5g,3g,2025-11-04T01:16:16.196131
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Fresh Tortilla Chips,16 Chips (63g),200,7g,1g,NA,NA,240mg,75mg,32g,3g,1g,3g,2025-11-04T01:16:16.196011
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Halal Chicken Fajita w/ Peppers & Onions,1/2 Cup (127g),140,5g,0.5g,NA,65mg,85mg,56mg,2g,<,1g,20g,2025-11-04T01:16:16.196091
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Heidi's Guacamole,1/4 Cup (70g),90,8g,1g,NA,0mg,60mg,22mg,6g,4g,0g,1g,2025-11-04T01:16:16.196153
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Jain Black Bean Enchiladas,1/4 Cup (94g),130,6g,1.5g,NA,5mg,270mg,75mg,15g,2g,2g,5g,2025-11-04T01:16:16.196108
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Plant-Based Fajita Beef,4oz (114g),50,10g,1g,NA,0mg,350mg,374mg,8g,2g,1g,18g,2025-11-04T01:16:16.196103
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Queso Blanco Sauce,2 Tbsp (28g),80,6g,4g,0g,15mg,340mg,24mg,2g,0g,<,4g,2025-11-04T01:16:16.196159
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Salsa Cocina Mexicana,1/2 Cup (123g),20,0g,0g,NA,0mg,5mg,16mg,5g,1g,3g,1g,2025-11-04T01:16:16.196165
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Snickerdoodle Cookies,Cookie (43g),180,8g,4g,0g,15mg,160mg,NA,25g,0g,12g,2g,2025-11-04T01:16:16.196072
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Soup Oberon's Bounty Vegan,3/4 Cup (170g),140,1g,0g,NA,0mg,420mg,167mg,24g,6g,1g,8g,2025-11-04T01:16:16.196120
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Taco Toppings,1/2 Cup (136g),170,14g,7g,NA,30mg,390mg,86mg,6g,1g,2g,5g,2025-11-04T01:16:16.196148
Lincoln Avenue Dining Hall (LAR),LAR Daily Menu,,,Yellow Rice,1/2 Cup (142g),130,1.5g,0g,NA,0mg,70mg,10mg,27g,0g,NA,5g,2025-11-04T01:16:16.196136
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,American Cheese Slice,Slice (19g),70,5g,3.5g,0g,20mg,270mg,NA,1g,0g,1g,3g,2025-11-04T01:06:07.681685
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Bacon,2 Slices (7g),80,6g,2g,0g,15mg,320mg,NA,0g,0g,0g,5g,2025-11-04T01:06:07.681838
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Cajun Aioli,2 Tablespoons (16g),110,12g,2g,0g,5mg,120mg,NA,0g,0g,0g,0g,2025-11-04T01:06:07.681823
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Cheddar Cheese,Slice (21g),80,7g,4g,0g,20mg,135mg,NA,0g,0g,0g,5g,2025-11-04T01:06:07.681700
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Dill Pickle Slices,Tablespoon (14g),0,0g,0g,0g,0mg,130mg,NA,0g,0g,0g,0g,2025-11-04T01:06:07.681946
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Garden Veggie Burger,Each (96g),150,4.5g,2g,0g,10mg,550mg,NA,22g,3g,<,7g,2025-11-04T01:06:07.681633
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Green Leaf Lettuce,Leaf (7g),0,0g,0g,0g,0mg,0mg,14mg,0g,0g,0g,0g,2025-11-04T01:06:07.681897
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Halal Grilled Chicken Breast,1 Each (112g),180,11g,1g,0g,60mg,200mg,10mg,0g,0g,0g,21g,2025-11-04T01:06:07.681651
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Hamburger Bun,Each (47g),130,2g,0g,0g,0mg,170mg,NA,25g,1g,4g,5g,2025-11-04T01:06:07.681576
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Provolone Cheese Slices,Slice (21g),70,6g,3.5g,0g,15mg,180mg,NA,0g,0g,0g,5g,2025-11-04T01:06:07.681733
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Red Kidney Beans,Ounce (28g),25,0g,0g,0g,0mg,30mg,0mg,5g,2g,0g,2g,2025-11-04T01:06:07.681763
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Red Onion,3 Rings (18g),5,0g,0g,0g,0mg,0mg,21mg,1g,0g,<,0g,2025-11-04T01:06:07.681929
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Sautéed Mushrooms,1/4 Cup (24g),30,3g,0g,0g,0mg,0mg,65mg,<,0g,0g,<,2025-11-04T01:06:07.681868
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Sautéed Onions,1/4 Cup (27g),20,1g,0g,NA,0mg,0mg,37mg,3g,0g,1g,0g,2025-11-04T01:06:07.681882
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Shoestring Fries,3 oz (94g),230,16g,3g,0g,0mg,280mg,NA,23g,2g,1g,2g,2025-11-04T01:06:07.681803
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Shredded Lettuce,Ounce (28g),0,0g,0g,0g,0mg,0mg,40mg,<,0g,0g,0g,2025-11-04T01:06:07.681853
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Sliced Pepper Jack Cheese,Slice (21g),70,6g,3.5g,0g,20mg,120mg,NA,0g,0g,0g,5g,2025-11-04T01:06:07.681717
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Sliced Swiss Cheese,Slice (19g),60,4.5g,2.5g,0g,15mg,200mg,NA,0g,0g,0g,4g,2025-11-04T01:06:07.681749
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Sliced Tomatoes,Slice (27g),0,0g,0g,NA,0mg,0mg,NA,1g,0g,<,0g,2025-11-04T01:06:07.681912
Pennsylvania Avenue Dining Hall (PAR),Abbondante Grill,,,Steamed Broccoli Florets,1/2 Cup (115g),40,0g,0g,0g,0mg,25mg,NA,8g,5g,2g,5g,2025-11-04T01:06:07.681667
Pennsylvania Avenue Dining Hall (PAR),Abbondante Pizza & Pasta,,,Crushed Red Pepper,1/4 tsp (0g),0,0g,0g,0g,0mg,0mg,NA,0g,0g,0g,0g,2025-11-04T01:07:00.174661
Pennsylvania Avenue Dining Hall (PAR),Abbondante Pizza & Pasta,,,Grated Parmesan Cheese,2 Tablespoons (10g),45,3g,1.5g,NA,10mg,150mg,NA,0g,0g,0g,4g,2025-11-04T01:07:00.174647
Pennsylvania Avenue Dining Hall (PAR),Abbondante Pizza & Pasta,,,Sausage Pizza,1/12 Slice (110g),260,13g,6g,0g,25mg,730mg,65mg,27g,1g,3g,13g,2025-11-04T01:07:00.174631
Pennsylvania Avenue Dining Hall (PAR),Abbondante Pizza & Pasta,,,Three Cheese Pizza,Slice (96g),220,9g,5g,NA,20mg,580mg,67mg,27g,1g,3g,11g,2025-11-04T01:07:00.174590
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,100% Wheat Bagel,Each (112g),290,2.5g,1g,0g,0mg,410mg,NA,60g,8g,8g,13g,2025-11-04T01:13:53.581892
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,100% Whole Wheat Bread,Slice (30g),80,2g,0g,NA,0mg,200mg,113mg,15g,2g,NA,2g,2025-11-04T01:13:53.581954
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,9-Grain Bread,Slice (28g),80,1g,0g,NA,0mg,150mg,63mg,14g,2g,3g,3g,2025-11-04T01:13:53.581938
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,American Cheese Slice,Slice (19g),70,5g,3.5g,0g,20mg,270mg,NA,1g,0g,1g,3g,2025-11-04T01:13:53.582129
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Blueberry Bagel,6ct (680g),2000,14g,7g,0g,0mg,2790mg,NA,394g,14g,64g,64g,2025-11-04T01:13:53.581921
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Bread Fzn Sliced Wheat Gordon Choice,Slice (28g),70,0.5g,0g,0g,0mg,140mg,NA,14g,1g,2g,3g,2025-11-04T01:13:53.581981
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Cheddar Cheese,Slice (21g),80,7g,4g,0g,20mg,135mg,NA,0g,0g,0g,5g,2025-11-04T01:13:53.582145
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Cinnamon Raisin Bagel,6ct (680g),2000,11g,3.5g,0g,0mg,2790mg,NA,401g,21g,79g,64g,2025-11-04T01:13:53.581930
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Cream Cheese,"1 oz (about 1"" cube) (28g)",100,9g,6g,0g,30mg,110mg,NA,<,0g,<,2g,2025-11-04T01:13:53.582150
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Deli Chicken Breast,1 Ounce Slice (28g),30,0.5g,0g,0g,15mg,270mg,NA,0g,0g,0g,6g,2025-11-04T01:13:53.582046
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Dill Pickle Slices,Tablespoon (14g),0,0g,0g,0g,0mg,130mg,NA,0g,0g,0g,0g,2025-11-04T01:13:53.582061
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,English Muffins,Each (74g),170,1.5g,0g,0g,0mg,380mg,NA,31g,2g,1g,6g,2025-11-04T01:13:53.581875
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Green Leaf Lettuce,Leaf (7g),0,0g,0g,0g,0mg,0mg,14mg,0g,0g,0g,0g,2025-11-04T01:13:53.582054
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Halal Roast Beef,1oz Slice (28g),30,1g,0g,NA,15mg,250mg,65mg,0g,NA,NA,4g,2025-11-04T01:13:53.582013
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Halal Turkey Breast,1 Ounce Slice (28g),25,0.5g,0g,NA,10mg,280mg,NA,1g,0g,0g,4g,2025-11-04T01:13:53.582031
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Hard Salami,Ounce (28g),110,10g,4g,0g,35mg,450mg,NA,0g,0g,0g,5g,2025-11-04T01:13:53.582038
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Hummus,1/4 Cup (60g),100,5g,0.5g,0g,0mg,75mg,3mg,9g,2g,2g,3g,2025-11-04T01:13:53.581996
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Ketchup,Tablespoon (17g),20,0g,0g,0g,0mg,160mg,NA,5g,0g,4g,0g,2025-11-04T01:13:53.582166
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Mayonnaise,Tablespoon (14g),100,11g,1.5g,0g,5mg,75mg,NA,0g,0g,0g,0g,2025-11-04T01:13:53.582176
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Mustard,Tablespoon (18g),0,0g,0g,0g,0mg,280mg,NA,0g,0g,0g,0g,2025-11-04T01:13:53.582155
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,"Plain, Blueberry&Cinnamon Raisin Bagels",4oz Bagel (113g),280,1g,0g,0g,0mg,530mg,NA,60g,2g,10g,9g,2025-11-04T01:13:53.581988
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Provolone Cheese Slices,Slice (21g),70,6g,3.5g,0g,15mg,180mg,NA,0g,0g,0g,5g,2025-11-04T01:13:53.582135
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Red Onion,3 Rings (18g),5,0g,0g,0g,0mg,0mg,21mg,1g,0g,<,0g,2025-11-04T01:13:53.582118
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Roasted Red Pepper Hummus,2 Tablespoons (30g),60,4g,0g,0g,0mg,170mg,NA,5g,1g,1g,2g,2025-11-04T01:13:53.582004
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Sauce BBQ Sweet Baby Rays No Sugar Added,Tablespoon (14g),10,0g,0g,0g,0mg,150mg,62mg,2g,0g,0g,0g,2025-11-04T01:13:53.582161
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Sliced Pepper Jack Cheese,Slice (21g),70,6g,3.5g,0g,20mg,120mg,NA,0g,0g,0g,5g,2025-11-04T01:13:53.582124
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Sliced Sour Dough Bread,Slice (40g),100,2g,0g,0g,0mg,190mg,0mg,18g,0g,<,3g,2025-11-04T01:13:53.581656
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Sliced Swiss Cheese,Slice (19g),60,4.5g,2.5g,0g,15mg,200mg,NA,0g,0g,0g,4g,2025-11-04T01:13:53.582140
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Smoked Deli Ham,1 Ounce Slice (28g),30,1g,0.5g,0g,15mg,260mg,NA,0g,0g,0g,5g,2025-11-04T01:13:53.582021
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Sweet Pickle Relish,Tablespoon (14g),10,0g,0g,0g,0mg,135mg,NA,2g,0g,2g,0g,2025-11-04T01:13:53.582171
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Tomatoes,1/2 Cup (119g),20,0g,0g,NA,0mg,5mg,NA,5g,1g,3g,1g,2025-11-04T01:13:53.582101
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Wheat Berry Bread,Slice (41g),100,1.5g,0g,0g,0mg,180mg,NA,20g,1g,3g,3g,2025-11-04T01:13:53.581829
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,Wheat Berry Bread,Slice (28g),80,1g,0g,0g,0mg,130mg,0mg,14g,<,1g,2g,2025-11-04T01:13:53.581946
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,White Sandwich Bread,1 Slice (43g),120,1.5g,0.5g,0g,<,230mg,NA,24g,1g,5g,4g,2025-11-04T01:13:53.581845
Pennsylvania Avenue Dining Hall (PAR),Build Your Own,,,White Sandwich Bread,Slice (57g),150,2g,0g,NA,0mg,310mg,66mg,28g,1g,NA,4g,2025-11-04T01:13:53.581972
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Bacon,2 Strips (14g),20,1.5g,0.5g,0g,<,50mg,NA,0g,0g,0g,2g,2025-11-04T01:08:37.321982
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Crepe Shell,1 Crepe (21g),70,4g,1.5g,0g,30mg,95mg,NA,7g,0g,2g,2g,2025-11-04T01:08:37.321911
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Hard Cooked Eggs,Each (50g),70,5g,1.5g,0g,180mg,70mg,NA,0g,0g,0g,6g,2025-11-04T01:08:37.322007
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Italian-Seasoned Roasted Roma Tomatoes,1/4 Cup (57g),30,2.5g,0g,NA,0mg,135mg,135mg,3g,<,1g,<,2025-11-04T01:08:37.322294
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Jain Tofu Scramble,1 Cup (181g),340,32g,2.5g,NA,0mg,1580mg,245mg,6g,1g,2g,8g,2025-11-04T01:08:37.322019
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Nutella Hazelnut Spread,2 Tablespoon (37g),200,11g,3.5g,0g,0mg,15mg,141mg,22g,1g,21g,3g,2025-11-04T01:08:37.322309
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Oatmeal,Cup (251g),150,2.5g,0g,NA,0mg,10mg,142mg,27g,4g,<,5g,2025-11-04T01:08:37.322032
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Pancake Syrup,2 Tablespoon (40g),120,0g,0g,0g,0mg,0mg,NA,29g,0g,13g,0g,2025-11-04T01:08:37.322254
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Scrambled Eggs,1/3 Cup (75g),150,11g,2.5g,0g,260mg,100mg,NA,0g,0g,0g,9g,2025-11-04T01:08:37.321994
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Seasoned Potatoes,1/2 Cup (94g),230,17g,2.5g,0g,0mg,360mg,NA,18g,<,<,2g,2025-11-04T01:08:37.322046
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,Vegetarian Sausage Patties,Patty (38g),70,2.5g,0g,0g,0mg,250mg,NA,4g,1g,1g,9g,2025-11-04T01:08:37.321968
Pennsylvania Avenue Dining Hall (PAR),La Avenida,,,White Rice,1/2 Cup (79g),100,0g,0g,NA,0mg,0mg,0mg,22g,0g,NA,4g,2025-11-04T01:08:37.322059
Pennsylvania Avenue Dining Hall (PAR),"Provolone Soup, Salad, Deli & Dessert Station",,,Apple Crumble Bar,Slice (1/96) (50g),180,7g,3.5g,NA,10mg,170mg,5mg,28g,1g,15g,2g,2025-11-04T01:09:46.546188
Pennsylvania Avenue Dining Hall (PAR),"Provolone Soup, Salad, Deli & Dessert Station",,,Chicken Dumpling Soup,1 cup (245g),170,5g,2g,0g,40mg,990mg,NA,25g,1g,2g,6g,2025-11-04T01:09:46.546239
Pennsylvania Avenue Dining Hall (PAR),"Provolone Soup, Salad, Deli & Dessert Station",,,Cream of Cauliflower Soup,1 Cup (325g),320,24g,15g,NA,80mg,125mg,373mg,19g,3g,11g,9g,2025-11-04T01:09:46.546254
Pennsylvania Avenue Dining Hall (PAR),"Provolone Soup, Salad, Deli & Dessert Station",,,Long Life Salad w/Pistachios Jain,Cup (169g),350,13g,1g,NA,NA,20mg,216mg,55g,8g,31g,8g,2025-11-04T01:09:46.546223
Pennsylvania Avenue Dining Hall (PAR),"Provolone Soup, Salad, Deli & Dessert Station",,,Pesto Sauce,1/2 Cup (113g),380,38g,6g,0g,20mg,720mg,NA,4g,2g,0g,8g,2025-11-04T01:09:46.546268
Pennsylvania Avenue Dining Hall (PAR),"Provolone Soup, Salad, Deli & Dessert Station",,,Pita Bread,Each (74g),210,6g,1g,0g,0mg,340mg,NA,35g,2g,0g,6g,2025-11-04T01:09:46.546140
Pennsylvania Avenue Dining Hall (PAR),"Provolone Soup, Salad, Deli & Dessert Station",,,Red Pepper Hummus,1/4 Cup (52g),80,4.5g,0.5g,0g,0mg,110mg,NA,7g,1g,1g,3g,2025-11-04T01:09:46.546207
